Data from Transmission_15-49-35-978.txt Node

Date: Mon Jun 01 15:49:35 CEST 2015
User: thomaskirchnerbackup
283.28 -388.64
283.75 60.45
284.22 -14.36
284.691 -257.14
285.161 102.27
285.631 20.07
286.101 168.75
286.571 116.52
287.041 67.92
287.511 19.42
287.981 -173.08
288.451 84.37
288.921 69.23
289.39 -3.72
289.86 0
290.33 7.17
290.8 21.6
291.27 31500
291.739 -102.27
292.209 52.94
292.679 20.22
293.148 112.5
293.618 49.54
294.088 87.91
294.557 55.45
295.027 114.89
295.496 900
295.966 12.05
296.435 -59.21
296.904 331.58
297.374 178.02
297.843 -220.41
298.313 -246.77
298.782 450
299.251 128.57
299.72 11.25
300.19 23.14
300.659 44.55
301.128 69.23
301.597 -58.24
302.066 -25.35
302.535 19.78
303.004 -60.67
303.473 86.3
303.942 293.48
304.411 1125
304.88 12.23
305.349 -21.18
305.818 121.62
306.287 215.22
306.756 -11.84
307.225 60.34
307.693 29.51
308.162 37.89
308.631 -37.76
309.1 17.82
309.568 68.82
310.037 59.58
310.506 81.38
310.974 21.18
311.443 105.08
311.911 -8.85
312.38 -115.2
312.848 37.67
313.317 63.38
313.785 109.35
314.254 21.11
314.722 -43.2
315.19 245.45
315.659 -81.82
316.127 258.9
316.595 -16.77
317.063 476.47
317.532 -33.75
318 63.53
318.468 11.16
318.936 101.61
319.404 48.91
319.872 0
320.34 44.72
320.808 -26.87
321.276 71.05
321.744 -92.52
322.212 53.31
322.68 16200
323.148 -715.91
323.616 214.68
324.083 107.52
324.551 3.14
325.019 15.95
325.487 -209.48
325.954 11.18
326.422 -18.6
326.89 -101.61
327.357 288
327.825 120.47
328.292 85.04
328.76 -65.67
329.228 -45.69
329.695 -35.53
330.162 -303.75
330.63 0
331.097 0
331.565 41.54
332.032 0
332.499 -86.17
332.967 52.43
333.434 41.54
333.901 246.77
334.368 12.05
334.835 83.01
335.303 101.41
335.77 -25.9
336.237 296.34
336.704 19.1
337.171 -47.37
337.638 -80.9
338.105 27.41
338.572 62.23
339.039 -50.7
339.506 64.73
339.973 0
340.439 -172.8
340.906 -100.49
341.373 -26.39
341.84 34.24
342.307 1440
342.773 41.31
343.24 6.54
343.707 48.18
344.173 -21.69
344.64 -52.65
345.106 12.23
345.573 68.3
346.039 -12.16
346.506 33.4
346.972 -20.66
347.439 60.7
347.905 13.35
348.372 -1.5
348.838 22.62
349.304 58.7
349.77 -16.32
350.237 -14.32
350.703 -42.57
351.169 16.71
351.635 10.62
352.102 5.62
352.568 -12.53
353.034 7.15
353.5 -6.18
353.966 -37.23
354.432 1.27
354.898 17.31
355.364 -65.77
355.83 -25.55
356.296 -26.71
356.762 -7.26
357.227 2.74
357.693 9.59
358.159 3.23
358.625 -9.59
359.09 -10.49
359.556 7.01
360.022 9.83
360.488 9.76
360.953 -9.1
361.419 -7.91
361.884 4.83
362.35 4.13
362.815 -0.86
363.281 10.41
363.746 -1.98
364.212 -5.27
364.677 0
365.143 12.01
365.608 0
366.073 -9.66
366.539 -1.3
367.004 6.13
367.469 13.65
367.934 -8.58
368.399 4.52
368.865 0
369.33 -4.49
369.795 -10.07
370.26 3.41
370.725 -1.21
371.19 6.18
371.655 13.9
372.12 8.63
372.585 -7.93
373.05 -1.84
373.515 -3.98
373.979 5.92
374.444 2.8
374.909 -7.58
375.374 -0.98
375.839 10.89
376.303 4.17
376.768 8.22
377.233 0.44
377.697 15.92
378.162 -15.93
378.626 -3.97
379.091 -1.29
379.556 -0.49
380.02 -6.48
380.485 -7.32
380.949 0
381.413 -2.81
381.878 2.27
382.342 -0.38
382.806 4
383.271 0.75
383.735 5.76
384.199 8
384.663 5.29
385.128 2.28
385.592 2.08
386.056 -5.6
386.52 5.33
386.984 6.92
387.448 -4.68
387.912 -8.79
388.376 -0.71
388.84 0.93
389.304 2.74
389.768 -3.72
390.232 0.93
390.696 2.48
391.16 0
391.623 -0.89
392.087 4.05
392.551 0.51
393.015 2.94
393.478 5.03
393.942 7.63
394.406 0.73
394.869 0.47
395.333 0.52
395.796 2.78
396.26 0.51
396.723 -4.75
397.187 0
397.65 0.25
398.114 2.78
398.577 -1.45
399.041 -6.15
399.504 0
399.967 1.95
400.43 2.06
400.894 -2.95
401.357 -1.1
401.82 -1.52
402.283 2.15
402.746 -0.86
403.21 0.95
403.673 0.42
404.136 -3.42
404.599 -1.46
405.062 -0.79
405.525 0.59
405.988 3.17
406.451 1.14
406.913 -0.74
407.376 -2.42
407.839 3.43
408.302 2.36
408.765 1.76
409.228 0.53
409.69 -2.5
410.153 -0.49
410.616 1.49
411.078 4.88
411.541 1.27
412.004 1.97
412.466 -1.29
412.929 -2.17
413.391 -0.76
413.854 -1.06
414.316 0
414.778 0.3
415.241 -1.03
415.703 -0.43
416.166 0.29
416.628 -3.02
417.09 0.71
417.552 -1.7
418.015 -0.28
418.477 -1.05
418.939 1.9
419.401 -0.13
419.863 -1.23
420.325 1.69
420.787 0.39
421.25 0.26
421.712 -2.89
422.174 -0.94
422.635 1.26
423.097 2.28
423.559 -0.13
424.021 2.43
424.483 -1.65
424.945 -2.66
425.407 1.11
425.868 1.76
426.33 0.91
426.792 1.99
427.254 -1.2
427.715 -0.59
428.177 0.68
428.638 2.35
429.1 -1.49
429.562 -0.67
430.023 -1.57
430.485 -0.85
430.946 -0.87
431.407 2.02
431.869 -0.51
432.33 0.61
432.792 1.65
433.253 -0.81
433.714 -3.13
434.175 0
434.637 -1.85
435.098 1.75
435.559 1.45
436.02 0
436.481 -1.51
436.942 -0.09
437.404 0.26
437.865 0.94
438.326 -0.89
438.787 -0.44
439.248 0.51
439.709 1.08
440.169 0.57
440.63 0.17
441.091 -1.89
441.552 0.97
442.013 -1.9
442.474 -2.27
442.934 1.11
443.395 0.81
443.856 -0.38
444.316 0.23
444.777 0.55
445.238 0.52
445.698 0.29
446.159 -0.53
446.619 0.9
447.08 2.23
447.54 -1.09
448.001 0.89
448.461 0.51
448.921 0.66
449.382 -0.15
449.842 0
450.302 -2.32
450.763 -1.75
451.223 0.14
451.683 0.15
452.143 -0.58
452.604 0.76
453.064 -0.49
453.524 -2.23
453.984 0
454.444 -0.07
454.904 0.47
455.364 -1.87
455.824 0.59
456.284 0.74
456.744 -0.19
457.204 -2.07
457.664 0
458.123 0.12
458.583 -0.62
459.043 -0.74
459.503 0.18
459.963 -0.42
460.422 0.23
460.882 1.68
461.342 -0.62
461.801 -0.45
462.261 -1.45
462.72 -0.44
463.18 0.75
463.639 -0.21
464.099 -1.98
464.558 -0.4
465.018 -0.1
465.477 -1.16
465.936 -0.53
466.396 0.38
466.855 -0.38
467.314 -0.09
467.774 0
468.233 -1.23
468.692 -0.66
469.151 -1.29
469.61 -0.79
470.07 -0.16
470.529 -0.16
470.988 0.47
471.447 0.63
471.906 0.31
472.365 -0.44
472.824 -0.44
473.283 0
473.742 0.14
474.2 -0.03
474.659 0.03
475.118 0.07
475.577 -0.33
476.036 0.35
476.494 0.16
476.953 -0.18
477.412 0.59
477.87 -0.55
478.329 -0.61
478.788 0.64
479.246 0.22
479.705 -0.19
480.163 -0.21
480.622 -0.52
481.08 -0.95
481.539 -0.32
481.997 0.19
482.455 -0.15
482.914 -0.24
483.372 -0.36
483.83 0.05
484.289 -0.07
484.747 -0.42
485.205 -0.18
485.663 0.02
486.122 -0.17
486.58 -0.1
487.038 -0.25
487.496 -0.14
487.954 0.02
488.412 0.02
488.87 0.33
489.328 0.19
489.786 -0.1
490.244 0.08
490.702 -0.21
491.159 -0.11
491.617 0.11
492.075 0.13
492.533 0.34
492.991 0.18
493.448 0.23
493.906 0.23
494.364 0.31
494.821 -0.12
495.279 0.32
495.737 0.13
496.194 0.02
496.652 0.21
497.109 0.08
497.567 -0.23
498.024 -0.14
498.481 -0.08
498.939 0.11
499.396 -0.06
499.854 -0.14
500.311 0.26
500.768 0.27
501.225 0.42
501.683 0.29
502.14 -0.3
502.597 -0.22
503.054 -0.04
503.511 0.3
503.968 -0.63
504.425 -0.24
504.882 0.19
505.339 -0.26
505.796 0.13
506.253 0
506.71 0.18
507.167 0.08
507.624 0.14
508.081 0.05
508.538 0.05
508.995 -0.15
509.451 0.04
509.908 0.2
510.365 -0.07
510.821 -0.07
511.278 -0.16
511.735 0.03
512.191 -0.29
512.648 -0.17
513.104 0.23
513.561 0
514.017 -0.24
514.474 -0.01
514.93 0.31
515.387 0.02
515.843 0.16
516.299 -0.07
516.756 0.12
517.212 -0.02
517.668 0.13
518.125 0.08
518.581 0.18
519.037 0.09
519.493 -0.1
519.949 0.16
520.405 0.13
520.861 0.13
521.317 0.16
521.773 -0.02
522.229 -0.11
522.685 0.09
523.141 0.48
523.597 0.28
524.053 0.14
524.509 0.29
524.965 -0.08
525.421 -0.02
525.876 -0.17
526.332 0.01
526.788 0.03
527.244 -0.04
527.699 -0.1
528.155 0.05
528.61 0.03
529.066 0
529.522 -0.07
529.977 -0.14
530.433 -0.05
530.888 0.03
531.344 0.08
531.799 0.29
532.254 -0.03
532.71 -0.08
533.165 -0.16
533.62 -0.26
534.076 -0.3
534.531 0.03
534.986 0.1
535.441 -0.14
535.897 -0.03
536.352 0.1
536.807 0.02
537.262 0.27
537.717 -0.1
538.172 0
538.627 0.07
539.082 0.38
539.537 -0.27
539.992 -0.1
540.447 0.04
540.902 -0.08
541.356 -0.16
541.811 0.04
542.266 0
542.721 0.05
543.176 -0.01
543.63 0.09
544.085 0.17
544.54 -0.04
544.994 -0.05
545.449 0.08
545.903 0.01
546.358 -0.03
546.812 -0.12
547.267 -0.12
547.721 -0.13
548.176 -0.04
548.63 0.08
549.085 -0.07
549.539 -0.11
549.993 0.11
550.448 -0.08
550.902 -0.01
551.356 -0.01
551.81 -0.08
552.264 -0.14
552.719 0.13
553.173 0.1
553.627 -0.07
554.081 0.03
554.535 0.11
554.989 -0.04
555.443 0.04
555.897 0.08
556.351 0.12
556.805 -0.06
557.259 -0.23
557.712 -0.03
558.166 0.05
558.62 0.15
559.074 -0.31
559.528 -0.14
559.981 0.09
560.435 0.09
560.889 0.09
561.342 -0.06
561.796 0.25
562.25 -0.1
562.703 0.15
563.157 -0.09
563.61 0.01
564.064 -0.16
564.517 -0.14
564.97 -0.19
565.424 -0.04
565.877 -0.2
566.331 -0.01
566.784 0.13
567.237 0.04
567.69 0.14
568.144 0.17
568.597 -0.04
569.05 -0.07
569.503 -0.04
569.956 -0.11
570.409 0
570.862 0.06
571.315 -0.04
571.768 0.21
572.221 0.07
572.674 -0.07
573.127 0.2
573.58 -0.02
574.033 0.08
574.486 0
574.939 0.07
575.392 -0.08
575.844 0.04
576.297 0.05
576.75 -0.15
577.202 -0.05
577.655 0.08
578.108 -0.12
578.56 -0.1
579.013 -0.11
579.465 0.23
579.918 0.02
580.37 0.21
580.823 0.34
581.275 0.18
581.728 0.02
582.18 -0.06
582.632 0.14
583.085 -0.13
583.537 0.06
583.989 0.02
584.442 -0.05
584.894 -0.02
585.346 -0.03
585.798 0.08
586.25 0.05
586.702 -0.05
587.155 0.05
587.607 0.02
588.059 0.17
588.511 0.01
588.963 0.08
589.415 -0.03
589.866 0.05
590.318 0.03
590.77 0.02
591.222 -0.02
591.674 0.06
592.126 0
592.577 0.09
593.029 -0.1
593.481 0.04
593.932 0
594.384 -0.02
594.836 -0.05
595.287 0.02
595.739 -0.11
596.19 -0.02
596.642 0.11
597.093 0.15
597.545 0.07
597.996 -0.06
598.448 0.02
598.899 -0.04
599.35 -0.07
599.802 -0.01
600.253 0.02
600.704 -0.06
601.155 -0.15
601.607 -0.12
602.058 -0.11
602.509 -0.01
602.96 -0.06
603.411 0.11
603.862 0.08
604.313 0.2
604.764 -0.06
605.215 0.02
605.666 -0.07
606.117 -0.06
606.568 0.11
607.019 -0.13
607.47 -0.02
607.921 -0.12
608.371 -0.23
608.822 0.02
609.273 0.06
609.724 0.13
610.174 0.08
610.625 0.11
611.076 0.06
611.526 -0.06
611.977 -0.06
612.427 -0.02
612.878 0.08
613.328 0.01
613.779 0.04
614.229 0.05
614.68 -0.07
615.13 -0.06
615.58 -0.15
616.031 0.01
616.481 0
616.931 -0.15
617.382 -0.12
617.832 0.01
618.282 0.17
618.732 -0.02
619.182 -0.07
619.632 -0.28
620.083 -0.04
620.533 -0.14
620.983 0.08
621.433 0.05
621.883 0.09
622.333 0.05
622.783 -0.11
623.232 -0.11
623.682 0.13
624.132 0.09
624.582 -0.01
625.032 -0.08
625.481 0.11
625.931 -0.02
626.381 0.02
626.831 0
627.28 0.08
627.73 0.15
628.179 -0.16
628.629 0.02
629.079 0.14
629.528 0.08
629.978 -0.13
630.427 -0.15
630.876 0.16
631.326 0.04
631.775 0.04
632.225 0.09
632.674 -0.07
633.123 -0.12
633.573 -0.03
634.022 -0.05
634.471 0.13
634.92 0.17
635.369 0.01
635.818 0.01
636.268 -0.14
636.717 0.02
637.166 0.11
637.615 0.08
638.064 -0.04
638.513 -0.13
638.962 -0.01
639.411 0.14
639.859 0.1
640.308 -0.04
640.757 0.15
641.206 0.04
641.655 -0.14
642.103 0.01
642.552 0.04
643.001 0.07
643.45 -0.04
643.898 0.11
644.347 0
644.795 0.17
645.244 0
645.692 -0.03
646.141 -0.03
646.589 -0.07
647.038 0.18
647.486 0.03
647.935 0.08
648.383 0.11
648.831 -0.06
649.28 -0.03
649.728 0.03
650.176 -0.05
650.625 -0.01
651.073 0.07
651.521 -0.04
651.969 0.07
652.417 0
652.865 0.04
653.313 -0.09
653.761 -0.01
654.209 0.11
654.657 0.12
655.105 0.16
655.553 -0.13
656.001 -0.06
656.449 -0.04
656.897 -0.06
657.345 0.12
657.793 0.06
658.24 0.03
658.688 -0.02
659.136 0.05
659.584 -0.09
660.031 -0.05
660.479 0.11
660.926 0.17
661.374 -0.04
661.822 0.11
662.269 0.03
662.717 -0.09
663.164 0.02
663.611 0.12
664.059 0.11
664.506 0.08
664.954 -0.03
665.401 0.05
665.848 -0.04
666.296 0.02
666.743 0.02
667.19 0.13
667.637 -0.07
668.084 -0.06
668.532 -0.11
668.979 -0.1
669.426 -0.03
669.873 -0.02
670.32 0.25
670.767 -0.01
671.214 -0.02
671.661 0.22
672.108 0.21
672.555 0.14
673.002 0.23
673.448 0.15
673.895 0.16
674.342 0.04
674.789 0.17
675.235 0.12
675.682 0.19
676.129 0.03
676.576 0.37
677.022 0.15
677.469 0.16
677.915 -0.05
678.362 0.24
678.808 0.33
679.255 0.2
679.701 0.22
680.148 0.21
680.594 0.07
681.041 0.21
681.487 0.21
681.933 0.36
682.38 0.29
682.826 0.5
683.272 0.48
683.718 0.49
684.165 0.79
684.611 1.09
685.057 1.31
685.503 1.83
685.949 3.15
686.395 4.55
686.841 7.27
687.287 11.74
687.733 19.13
688.179 29.95
688.625 44.29
689.071 56.79
689.517 66.46
689.963 72.42
690.408 73.42
690.854 75.79
691.3 76.21
691.746 77.76
692.191 77.99
692.637 79.37
693.083 80.64
693.528 83.42
693.974 85.5
694.419 85.33
694.865 87.07
695.311 86.82
695.756 85.95
696.201 85.16
696.647 82.87
697.092 82.21
697.538 82.19
697.983 82.97
698.428 82.35
698.874 82.57
699.319 83.05
699.764 83.78
700.209 83.92
700.655 84.64
701.1 84.21
701.545 84.33
701.99 84.34
702.435 85.04
702.88 84.41
703.325 86.05
703.77 87.18
704.215 88.7
704.66 88.74
705.105 88.61
705.55 85.02
705.995 79.77
706.44 69.94
706.884 58.82
707.329 46.78
707.774 35.81
708.219 27.19
708.663 19.34
709.108 14.29
709.553 10.15
709.997 7.17
710.442 5.26
710.886 3.41
711.331 2.8
711.775 2.18
712.22 1.45
712.664 1.32
713.109 0.94
713.553 0.72
713.998 0.73
714.442 0.43
714.886 0.27
715.331 0.25
715.775 0.54
716.219 0.14
716.663 0.47
717.107 0.19
717.552 0.09
717.996 0.24
718.44 0.14
718.884 0.23
719.328 0.27
719.772 0.13
720.216 0.17
720.66 0.2
721.104 0.08
721.548 -0.05
721.992 0.1
722.436 0.08
722.879 0.07
723.323 0.4
723.767 0.21
724.211 0.08
724.654 0.21
725.098 0.06
725.542 -0.13
725.985 -0.12
726.429 -0.12
726.873 0.03
727.316 0.06
727.76 0.11
728.203 0.08
728.647 -0.01
729.09 0.05
729.534 0.09
729.977 -0.01
730.42 0.11
730.864 0.11
731.307 -0.07
731.75 -0.11
732.194 0.02
732.637 0.01
733.08 0.28
733.523 0.24
733.966 0
734.41 -0.16
734.853 0.03
735.296 -0.11
735.739 -0.07
736.182 0.16
736.625 0.21
737.068 0.3
737.511 -0.04
737.954 -0.09
738.396 0.19
738.839 -0.24
739.282 -0.08
739.725 -0.15
740.168 0.16
740.61 -0.02
741.053 -0.16
741.496 0.01
741.939 0.01
742.381 0.01
742.824 -0.13
743.266 0.1
743.709 0.27
744.151 0.05
744.594 -0.23
745.036 -0.19
745.479 0.08
745.921 -0.12
746.364 -0.12
746.806 -0.17
747.248 0.23
747.691 0.32
748.133 -0.11
748.575 0.12
749.017 0.06
749.46 -0.01
749.902 -0.21
750.344 0.2
750.786 -0.33
751.228 -0.01
751.67 0.01
752.112 0.06
752.554 0.18
752.996 -0.05
753.438 0.16
753.88 -0.27
754.322 -0.16
754.764 0.19
755.206 0.18
755.648 0.06
756.09 0.2
756.531 -0.06
756.973 0.31
757.415 0.35
757.856 -0.08
758.298 0.32
758.74 -0.02
759.181 0.24
759.623 0.04
760.065 0.02
760.506 -0.07
760.948 -0.06
761.389 -0.15
761.83 0.12
762.272 0.23
762.713 0.32
763.155 -0.19
763.596 -0.45
764.037 -0.04
764.479 0.09
764.92 0.01
765.361 0.1
765.802 0.22
766.243 -0.03
766.685 0.18
767.126 -0.05
767.567 0.53
768.008 0.1
768.449 0
768.89 -0.1
769.331 0.01
769.772 -0.26
770.213 0.14
770.654 0
771.095 -0.24
771.535 0.05
771.976 0.05
772.417 0.03
772.858 0.29
773.299 -0.08
773.739 0.01
774.18 0.25
774.621 0.39
775.061 -0.04
775.502 0.4
775.942 0.41
776.383 0.15
776.824 0
777.264 0.43
777.705 0.43
778.145 -0.07
778.585 -0.08
779.026 -0.27
779.466 -0.03
779.906 0.4
780.347 0.03
780.787 0.01
781.227 -0.01
781.668 -0.1
782.108 0.46
782.548 0.21
782.988 0.59
783.428 0
783.868 -0.2
784.308 -0.07
784.748 -0.01
785.188 0
785.628 -0.22
786.068 0.48
786.508 0.28
786.948 0.18
787.388 -0.16
787.828 -0.18
788.268 -0.03
788.708 0.23
789.147 0.19
789.587 0.38
790.027 0.25
790.467 0
790.906 -0.18
791.346 -0.03
791.785 0.06
792.225 -0.57
792.665 0.2
793.104 -0.11
793.544 -0.2
793.983 0.11
794.422 0.3
794.862 -0.11
795.301 0.38
795.741 -0.38
796.18 0.06
796.619 -0.11
797.059 -0.1
797.498 0.11
797.937 0.08
798.376 0
798.815 0.43
799.255 0.38
799.694 0.08
800.133 -0.05
800.572 -0.49
801.011 -0.2
801.45 -0.03
801.889 -0.03
802.328 0.24
802.767 -0.09
803.206 0.55
803.645 -0.31
804.083 0.14
804.522 0.3
804.961 0.12
805.4 -0.36
805.839 0.14
806.277 0.14
806.716 -0.04
807.155 0.16
807.593 -0.3
808.032 0.12
808.471 -0.18
808.909 0.29
809.348 0.45
809.786 0.09
810.225 -0.23
810.663 0.18
811.101 0.23
811.54 0.51
811.978 0
812.417 0.04
812.855 0.2
813.293 0.17
813.731 -0.09
814.17 -0.19
814.608 0.06
815.046 0.21
815.484 -0.04
815.922 -0.04
816.36 0.1
816.798 0.02
817.236 0.35
817.674 -0.09
818.112 0
818.55 0.2
818.988 -0.08
819.426 -0.36
819.864 0
820.302 0.18
820.74 -0.22
821.178 0.12
821.615 0.1
822.053 -0.1
822.491 -0.18
822.929 0.18
823.366 0.25
823.804 0.17
824.241 0.39
824.679 0.19
825.117 0
825.554 -0.1
825.992 0.29
826.429 -0.33
826.867 0.23
827.304 0
827.741 0.34
828.179 0.58
828.616 0.11
829.053 -0.11
829.491 0.31
829.928 0.29
830.365 -0.22
830.802 -0.13
831.24 -0.57
831.677 0.15
832.114 -0.37
832.551 0.02
832.988 0.22
833.425 0
833.862 -0.45
834.299 0.04
834.736 -0.14
835.173 -0.09
835.61 -0.33
836.047 -0.07
836.484 0.19
836.92 0.12
837.357 -0.09
837.794 0.35
838.231 -0.31
838.668 0.32
839.104 -0.34
839.541 0.2
839.978 0.19
840.414 -0.25
840.851 0.1
841.287 -0.17
841.724 0.27
842.16 -0.37
842.597 -0.27
843.033 0.3
843.47 0.55
843.906 -0.48
844.342 -0.36
844.779 -0.38
845.215 0.66
845.651 -0.55
846.088 -0.36
846.524 -0.03
846.96 0.34
847.396 -0.05
847.832 -0.34
848.269 0.24
848.705 -0.71
849.141 -0.21
849.577 -0.03
850.013 0.21
850.449 -0.03
850.885 0.08
851.321 0.64
851.757 0.68
852.192 -0.3
852.628 0.58
853.064 0.36
853.5 0.22
853.936 -0.14
854.372 0.25
854.807 0.42
855.243 0.23
855.679 -0.06
856.114 -0.38
856.55 0.15
856.985 0.29
857.421 0.43
857.857 0.48
858.292 0.36
858.728 0.72
859.163 -0.12
859.598 0.39
860.034 0.59
860.469 0.12
860.905 -0.24
861.34 0.9
861.775 -0.12
862.21 -0.55
862.646 -0.24
863.081 0.09
863.516 0.62
863.951 -0.84
864.386 -0.25
864.821 0.54
865.257 0.06
865.692 -0.03
866.127 0.06
866.562 -0.1
866.997 0.46
867.432 -0.36
867.866 -0.3
868.301 0.27
868.736 0.48
869.171 0.07
869.606 0.03
870.041 0.77
870.475 -0.03
870.91 -0.17
871.345 0.44
871.779 0.17
872.214 -0.53
872.649 0.14
873.083 0.11
873.518 0.04
873.952 0.07
874.387 -0.53
874.821 -0.32
875.256 -0.14
875.69 -0.48
876.125 -0.75
876.559 0.11
876.993 1.02
877.428 -0.11
877.862 0.22
878.296 0.68
878.731 -0.51
879.165 0.43
879.599 -1.17
880.033 -0.11
880.467 0.07
880.901 0.56
881.336 0.19
881.77 0.8
882.204 1.04
882.638 -0.27
883.072 -0.44
883.506 0.08
883.939 0.27
884.373 0.2
884.807 -0.12
885.241 0.6
885.675 0.28
886.109 0.19
886.542 0.87
886.976 1.75
887.41 -0.41
887.844 0.72
888.277 -0.61
888.711 0.72
889.144 0.04
889.578 0.29
890.012 0
890.445 0.21
890.879 -0.79
891.312 0.21
891.745 0.39
892.179 0.34
892.612 -0.92
893.046 0.26
893.479 0.9
893.912 -0.49
894.345 -0.31
894.779 -0.39
895.212 0.17
895.645 0.84
896.078 -0.18
896.511 0
896.945 0
897.378 -0.09
897.811 -0.91
898.244 0.49
898.677 0.19
899.11 -0.8
899.543 -0.09
899.976 0.65
900.409 -0.29
900.841 -0.67
901.274 -0.24
901.707 1.15
902.14 -0.5
902.573 0.34
903.005 0.5
903.438 0.86
903.871 -0.5
904.303 -0.1
904.736 -0.36
905.169 0.71
905.601 -0.62
906.034 0.52
906.466 -0.11
906.899 0.89
907.331 -0.46
907.764 1.2
908.196 0.05
908.629 1.16
909.061 0.16
909.493 1.59
909.926 1.5
910.358 1.49
910.79 -0.11
911.222 2.14
911.655 0.61
912.087 -0.18
912.519 -0.17
912.951 0.53
913.383 0.35
913.815 -0.53
914.247 -0.24
914.679 2
915.111 0.9
915.543 -1.49
915.975 -1.89
916.407 0.55
916.839 1
917.271 -0.81
917.703 -0.7
918.134 0.19
918.566 -0.82
918.998 -0.58
919.43 0.45
919.861 0.06
920.293 -0.13
920.725 -0.39
921.156 -0.26
921.588 0.2
922.019 0.07
922.451 0.2
922.882 0.49
923.314 0
923.745 -0.49
924.177 0.42
924.608 0.14
925.039 0.63
925.471 -3.04
925.902 0.79
926.333 -0.29
926.765 0.52
927.196 1.22
927.627 0.36
928.058 1.38
928.489 1.27
928.921 2.33
929.352 -2.11
929.783 -1.35
930.214 -2.41
930.645 0
931.076 -0.77
931.507 1.16
931.938 1.15
932.369 0.23
932.8 -0.39
933.23 0.16
933.661 0.88
934.092 1.68
934.523 0.16
934.954 0.41
935.384 1.2
935.815 -0.33
936.246 0.81
936.676 1.8
937.107 -1.17
